"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Pathways of neurodegeneration","19/475",0.465444775011812,0.937060426955744,0,0,1.04161118508655,0.796584471006396,"GRIA1;DNAH12;GABARAPL1;WNT2B;FZD4;BDNF;GPX3;LRRK2;COX4I2;AGER;COX7A1;DKK2;TUBB6;IL6;IL1B;TUBB1;CAT;NOS1;SNCA"
"Human T-cell leukemia virus 1 infection","9/219",0.468923592452053,0.937060426955744,0,0,1.07114698704712,0.81119615146668,"EGR1;CDKN2B;ZFP36;IL6;FOS;MSX1;ITGAL;ETS1;TGFBR2"
"Bladder cancer","2/41",0.471975288576974,0.937060426955744,0,0,1.28145032051282,0.96214961352243,"DAPK2;HBEGF"
"Acute myeloid leukemia","3/67",0.479511389034047,0.945123897226528,0,0,1.17132496740548,0.860909365319737,"BCL2A1;ZBTB16;RUNX1T1"
"Fc epsilon RI signaling pathway","3/68",0.489362251394983,0.957600952370039,0,0,1.15324440878548,0.824168726952385,"ALOX5;ALOX5AP;MS4A2"
"Fatty acid degradation","2/43",0.497091123478346,0.958927557348299,0,0,1.21881351626016,0.8519286149505,"ACADL;ADH1B"
"Type I diabetes mellitus","2/43",0.497091123478346,0.958927557348299,0,0,1.21881351626016,0.8519286149505,"IL1B;PRF1"
"Fatty acid biosynthesis","1/18",0.506877661289941,0.96573416337213,0,0,1.46967031285856,0.998619819830255,"ACACB"
"Diabetic cardiomyopathy","8/203",0.523863560572085,0.96573416337213,0,0,1.02483343428225,0.662579420646845,"ACE;COX4I2;PDK4;AGTR1;CD36;AGER;COX7A1;TGFBR2"
"Inflammatory mediator regulation of TRP channels","4/98",0.524478062848963,0.96573416337213,0,0,1.06305205266374,0.686042424822025,"PTGER4;PRKCH;PRKCE;IL1B"
"Glycosaminoglycan degradation","1/19",0.52587992835355,0.96573416337213,0,0,1.38794971824881,0.892010807973197,"HYAL1"
"Carbohydrate digestion and absorption","2/47",0.544967057387497,0.96573416337213,0,0,1.11024305555556,0.67395076574722,"MGAM;ATP1A2"
"Other types of O-glycan biosynthesis","2/47",0.544967057387497,0.96573416337213,0,0,1.11024305555556,0.67395076574722,"GALNT18;MFNG"
"Pyruvate metabolism","2/47",0.544967057387497,0.96573416337213,0,0,1.11024305555556,0.67395076574722,"ADH1B;ACACB"
"Oxytocin signaling pathway","6/154",0.546387723321609,0.96573416337213,0,0,1.01255836988821,0.612017050071291,"GUCY1A2;RCAN1;NPR1;CACNA2D2;FOS;MYL9"
"Melanogenesis","4/101",0.548392740925885,0.96573416337213,0,0,1.03001265107265,0.618794075554987,"EDN1;EDNRB;WNT2B;FZD4"
"Thyroid hormone synthesis","3/75",0.555566744996461,0.96573416337213,0,0,1.04074315514993,0.611713986795122,"DUOX1;GPX3;ATP1A2"
"Longevity regulating pathway","4/102",0.55622353987148,0.96573416337213,0,0,1.01944903287686,0.597993526653145,"KL;CAT;PPARG;CRYAB"
"Intestinal immune network for IgA production","2/48",0.556428574550545,0.96573416337213,0,0,1.08605072463768,0.636660815654092,"IL6;CXCL12"
"Valine, leucine and isoleucine degradation","2/48",0.556428574550545,0.96573416337213,0,0,1.08605072463768,0.636660815654092,"AOX1;HMGCLL1"
"Cellular senescence","6/156",0.559078123339946,0.96573416337213,0,0,0.998952879581152,0.580857195079941,"IL6;CDKN2B;RRAS;GADD45B;ETS1;TGFBR2"
"Alzheimer disease","14/369",0.560903674151481,0.96573416337213,0,0,0.984611371935316,0.569308293537018,"WNT2B;MME;FZD4;COX4I2;LPL;AGER;COX7A1;DKK2;TUBB6;IL6;IL1B;TUBB1;NOS1;SNCA"
"Chronic myeloid leukemia","3/76",0.564598820971648,0.96573416337213,0,0,1.02643281956029,0.586749904465216,"SHC3;GADD45B;TGFBR2"
"Gastric acid secretion","3/76",0.564598820971648,0.96573416337213,0,0,1.02643281956029,0.586749904465216,"CA2;KCNJ15;ATP1A2"
"Ether lipid metabolism","2/49",0.567683385568616,0.96573416337213,0,0,1.06288785460993,0.601798000124721,"PLA2G1B;PLPP3"
"Dopaminergic synapse","5/132",0.578053695445118,0.96573416337213,0,0,0.983119757089187,0.538836648645065,"GRIA1;MAOB;ARRB1;FOS;GNG11"
"Arginine biosynthesis","1/22",0.57861010029033,0.96573416337213,0,0,1.18948541705369,0.650798909963034,"NOS1"
"Terpenoid backbone biosynthesis","1/22",0.57861010029033,0.96573416337213,0,0,1.18948541705369,0.650798909963034,"PCYOX1"
