"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208789_at",-1.21035116666667,11.31332275,-13.1202577433182,6.03318524264198e-25,2.57706564954258e-22,46.1674647035741
"61297_at",-1.29226883333333,8.47776241666667,-13.0971378301997,6.83926205662206e-25,2.89873374376598e-22,46.0438622294886
"203980_at",-3.7473685,9.79546691666667,-13.0867175601435,7.23705253238657e-25,3.0437372862172e-22,45.9881399101763
"204468_s_at",-1.82840783333333,8.71410075,-13.0830617492117,7.38204173805154e-25,3.08101627502266e-22,45.9685884316398
"218723_s_at",-2.05028133333333,12.079671,-13.074714069121,7.72412244273242e-25,3.19936662542723e-22,45.9239405840022
"204482_at",-2.111611,9.663596,-13.0361713309829,9.52163419392388e-25,3.91425074851721e-22,45.7177217855059
"230645_at",-2.29135833333333,7.1528085,-13.0265068245609,1.00346622041023e-24,4.09436683589023e-22,45.6659945096894
"228268_at",-2.54368683333333,10.5968874166667,-13.0182701933645,1.04937128829729e-24,4.24995371760403e-22,45.6219038624802
"206701_x_at",-2.93438933333333,7.77502116666667,-13.0166418309901,1.0586928959313e-24,4.25017235310764e-22,45.6131866182195
"219508_at",2.47473016666667,7.04593825,13.0155529821769,1.06497231344444e-24,4.25017235310764e-22,45.6073574800418
"235306_at",-2.20489666666667,8.771673,-13.0085827168002,1.1060641872907e-24,4.38217822029848e-22,45.5700400612784
"229308_at",-2.31070633333333,6.95662116666667,-13.0032231993056,1.13873814599334e-24,4.47917324691986e-22,45.5413436919684
"204017_at",1.69142183333333,9.29760725,12.9977445617371,1.17313878745423e-24,4.58152594314713e-22,45.5120072104579
"206481_s_at",-2.141649,9.85491516666667,-12.9729087261957,1.34262846280417e-24,5.20625611374596e-22,45.3789894928698
"225369_at",-1.53142866666667,8.95429416666667,-12.9699282532756,1.36455291038948e-24,5.25400918137641e-22,45.3630232409675
"225078_at",-1.86773733333333,11.9092011666667,-12.9656713358136,1.39649080962834e-24,5.33938007107898e-22,45.3402179508379
"228546_at",-1.698975,5.57708916666667,-12.949322444383,1.52627292083579e-24,5.79506749629839e-22,45.252620234313
"235642_at",-1.47801533333333,5.68261133333333,-12.9367497031302,1.63424806750721e-24,6.16224228213495e-22,45.1852413084681
"1557094_at",-1.59601966666667,6.33033033333333,-12.9325769213879,1.67175084007476e-24,6.26047788911558e-22,45.1628761761461
"243172_at",-1.64315166666667,5.71438916666667,-12.9253015437449,1.73921349323793e-24,6.4688093702574e-22,45.1238786921327
"204273_at",-3.190866,8.65602,-12.9115568084488,1.87420341269041e-24,6.92378862086812e-22,45.050193206196
"238332_at",-2.52142983333333,8.17090258333333,-12.903707732023,1.95595218545304e-24,7.17729434494263e-22,45.008107929281
"229518_at",-1.73376366666667,7.88687133333333,-12.8755487228727,2.2797803359002e-24,8.30979932435623e-22,44.8570865221803
"222885_at",-2.22194616666667,8.98192808333333,-12.8536688489945,2.5680797016907e-24,9.29101599350732e-22,44.7397003108727
"211626_x_at",-1.09738083333333,6.53384858333333,-12.8526072843697,2.58296192229193e-24,9.29101599350732e-22,44.7340040801869
"225373_at",-1.05718266666667,8.92105983333333,-12.8505472601848,2.61208880106113e-24,9.33437615673317e-22,44.7229499953966
"206382_s_at",-1.638902,5.46358483333333,-12.8408688014382,2.75340281201075e-24,9.71296386829354e-22,44.6710112149448
"205326_at",-2.0076975,9.12087008333333,-12.8408582581509,2.75356085886694e-24,9.71296386829354e-22,44.6709546313558
"243805_at",-1.5875085,5.45783508333333,-12.8200519872423,3.08386040647973e-24,1.07394947595082e-21,44.5592758736427
"227307_at",-1.36120783333333,8.10482791666667,-12.8144857473511,3.17877153888407e-24,1.09999578410435e-21,44.5293934118694
"242340_at",-1.82122483333333,6.46483641666667,-12.790726773165,3.6179444405537e-24,1.24409504583191e-21,44.401817561032
"222717_at",-2.89410016666667,9.59458058333333,-12.756136594964,4.36834322842408e-24,1.49274478758804e-21,44.2160097443149
"227197_at",-2.40493483333333,9.03215358333333,-12.7480388443005,4.56546112785281e-24,1.55041358487797e-21,44.1724987333277
"1552509_a_at",-2.269785,6.65625566666667,-12.7444097756323,4.65667069331302e-24,1.57162635899314e-21,44.152997426789
"204931_at",-2.62291733333333,8.7915965,-12.7382877083543,4.81469550197601e-24,1.61499065380698e-21,44.120097523687
"235649_at",-2.21697733333333,8.450773,-12.7238965504956,5.20766057195505e-24,1.72562934407056e-21,44.0427491886817
"205003_at",-1.45429016666667,9.87045758333333,-12.6756523821789,6.7750860758397e-24,2.21813072572776e-21,43.7833445745373
"221886_at",-1.22800033333333,5.58238983333333,-12.6668545321446,7.10822156044314e-24,2.28612949304252e-21,43.7360218613058
"204579_at",-1.751201,7.8926255,-12.6275422823762,8.80921298540743e-24,2.81662994138685e-21,43.5245004523824
"217897_at",-1.4187385,9.85903091666667,-12.6149887711209,9.43409509200333e-24,2.99889040206559e-21,43.456933523258
"205935_at",-2.011578,8.97776216666667,-12.613138514763,9.52987941861578e-24,3.01182749833999e-21,43.446973963251
"1553243_at",-1.239751,7.04035,-12.6101966362636,9.68418585189154e-24,3.04300495087454e-21,43.4311379441586
"208161_s_at",2.13360933333333,9.1096195,12.5479461219376,1.36058998647387e-23,4.25087185774051e-21,43.0959102580048
