"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000178568.15",226.069008226199,-1.70101485801179,0.247380196100666,-6.87611573126734,6.15065388662146e-12,2.75655474798938e-11
"ENSG00000260757.1",4.54079457884837,2.13418920945988,0.310472794252967,6.87399749338741,6.24273052498971e-12,2.79642572949608e-11
"ENSG00000231426.7",2.77873745877906,-1.65687126421318,0.241110687500273,-6.87182837638128,6.33841852488331e-12,2.83822753737609e-11
"ENSG00000200502.1",7.06303624225197,1.76595703095268,0.257005242216968,6.87128797731617,6.36248036129233e-12,2.84829204312526e-11
"ENSG00000231651.1",5.7261201937322,1.47530704684889,0.214756926207933,6.86965991225104,6.43551406185451e-12,2.88062813308126e-11
"ENSG00000287532.1",3.3447446302585,3.24534064010635,0.472527302622527,6.86804894044154,6.50858946275791e-12,2.9122493075578e-11
"ENSG00000270292.1",4.48975334458452,2.37265885599016,0.345591747734788,6.86549627281893,6.62604950587558e-12,2.96406821148045e-11
"ENSG00000146857.4",7.17920855324342,4.10355113415098,0.597710468978954,6.8654496568563,6.62821372150762e-12,2.96466723532639e-11
"ENSG00000275022.1",5.89974543729294,1.47842739736999,0.215350597779648,6.86521148588944,6.63928198015021e-12,2.96924821442366e-11
"ENSG00000271032.1",39.7583345216865,1.15066054467286,0.167611716794005,6.86503644662875,6.6474279336648e-12,2.97252129006318e-11
"ENSG00000280202.1",160.152910398649,1.23080208879519,0.179286920766839,6.86498537389595,6.64980659494092e-12,2.97321491981368e-11
"ENSG00000279144.1",4.3550777126904,1.59129948780913,0.231832513455558,6.86400481144841,6.69563738908809e-12,2.99333397275022e-11
"ENSG00000231851.6",12.2695604356783,1.16499245202143,0.16974919967607,6.86302176531356,6.74189495615036e-12,3.01326391061677e-11
"ENSG00000274944.4",2.45433144243424,2.08550226944743,0.303912408762194,6.86218202784638,6.78165699848764e-12,3.0302815067238e-11
"ENSG00000186301.8",173.468639509611,1.36385182105458,0.198790112306889,6.86076286807005,6.84937801331588e-12,3.05978057961506e-11
"ENSG00000164434.12",17.3882054834033,2.51948009991842,0.367235020707211,6.86067492982146,6.85359608232085e-12,3.06128427694913e-11
"ENSG00000163263.7",39.863534743615,-1.91003537126872,0.278426991920689,-6.86009412410994,6.88151915989696e-12,3.07337456078431e-11
"ENSG00000213777.5",2.51214538654606,-1.46829707795287,0.214047879732824,-6.85966653715801,6.90214724339297e-12,3.08220420650148e-11
"ENSG00000205078.6",82.4594474063344,1.11575777911214,0.1626725707206,6.85891772761445,6.93841815009584e-12,3.0980162064489e-11
"ENSG00000258700.6",6.83872571215399,3.99735289405913,0.582984370636761,6.8567067924875,7.046605040874e-12,3.14397763713651e-11
"ENSG00000286585.1",16.5077043370386,1.0511993142823,0.153323613250081,6.85608232156466,7.07746028855106e-12,3.15735222457958e-11
"ENSG00000231431.7",7.32584452635356,4.32097311218558,0.630303868710949,6.85538091495855,7.1122748305341e-12,3.17209576292317e-11
"ENSG00000239093.1",3.57689124255042,2.51836574090344,0.367374202544101,6.85504241578076,7.12913632989634e-12,3.1788268594338e-11
