"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Cell Differentiation (GO:0045597)","14/283",0.00248893951512488,0.0550272062365653,0,0,2.50696678378403,15.0315185207506,"IGFBP3;RUNX2;COL1A1;CCNA2;NELL1;CEACAM1;PCP4;SFRP2;MDK;CCN4;SOX9;ECT2;SOX4;EZH2"
"Epithelial Cell Migration (GO:0010631)","5/46",0.00255755225951665,0.055936142966203,0,0,5.81320642474717,34.6973120822964,"DPP4;ANLN;FERMT1;NELL1;S100A2"
"Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)","8/114",0.00261031054485301,0.0559459691969128,0,0,3.61207176301516,21.4856361952118,"SOX2;GREM1;SFRP4;MESP1;SFRP2;MDK;TPBG;SOX9"
"Supramolecular Fiber Organization (GO:0097435)","15/316",0.00263386671973923,0.0559459691969128,0,0,2.40249169435216,14.2691243904713,"DSP;KRT80;COL11A1;KIF14;P3H4;COL1A1;GREM1;COL3A1;COL1A2;COL5A1;HOOK1;KRT15;COL5A2;KIF2C;KRT6A"
"L-glutamate Transmembrane Transport (GO:0015813)","3/14",0.00272303389896478,0.0559459691969128,0,0,12.9571932921447,76.5252952257453,"SLC1A4;SLC7A11;SLC1A7"
"Bone Morphogenesis (GO:0060349)","3/14",0.00272303389896478,0.0559459691969128,0,0,12.9571932921447,76.5252952257453,"TFAP2A;SFRP4;MMP13"
"Establishment Of Chromosome Localization (GO:0051303)","3/14",0.00272303389896478,0.0559459691969128,0,0,12.9571932921447,76.5252952257453,"CENPF;KIF2C;NDC80"
"Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189)","3/14",0.00272303389896478,0.0559459691969128,0,0,12.9571932921447,76.5252952257453,"SIX4;SIX1;SOX9"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","20/483",0.00282318319792919,0.0574235462458797,0,0,2.09115017634032,12.2748220043027,"EGF;KIF14;HMGA2;TTK;FOXM1;NME1;DPP4;CCNA2;GREM1;SFRP2;EPCAM;MDK;PRC1;BIRC5;CCN4;SOX9;CRLF1;SOX4;EZH2;KRT6A"
"Oligosaccharide Metabolic Process (GO:0009311)","5/48",0.00308876245809869,0.0622033944531953,0,0,5.54225751559841,32.0341640165619,"ST6GALNAC1;FUT8;FUT9;FUT2;FUT3"
"Phospholipid Dephosphorylation (GO:0046839)","4/30",0.00326669398286066,0.0651217997599861,0,0,7.32135504398278,41.9072665620775,"PLPP5;PLPP4;SGPP2;PLPP2"
"Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)","6/70",0.0032977115905991,0.0651217997599861,0,0,4.47455684596577,25.5699737098678,"SOX2;CEACAM1;SFRP2;SORD;SOX9;SULF1"
"L-glutamate Import (GO:0051938)","3/15",0.00335179297818463,0.0655186479664733,0,0,11.8768203883495,67.6772088709426,"SLC1A4;SLC7A11;SLC1A7"
"Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)","5/49",0.0033822310897147,0.0655186479664733,0,0,5.4160199556541,30.8129274356062,"CDC20;CCNB1;UBE2C;CDC6;DLGAP5"
"Regulation Of MAPK Cascade (GO:0043408)","11/204",0.00367743786316057,0.0693878890617643,0,0,2.73575129533679,15.3353605861127,"SOX2;CCNA2;GREM1;CEACAM1;GPR37;GDF15;DOK5;EGF;PAK6;CD24;INAVA"
"Regulation Of Cell Cycle (GO:0051726)","14/298",0.00395082036250981,0.0693878890617643,0,0,2.37271258473534,13.1301929110702,"CDKN2A;GMNN;HMGA2;FOXM1;CDC20;FIGNL1;CHEK1;PCLAF;SOX9;PRR11;DLGAP5;CDKN3;MCM2;SMIM22"
"Negative Regulation Of Signal Transduction (GO:0009968)","13/267",0.00400124670940163,0.0693878890617643,0,0,2.46114897951189,13.5883709385351,"GDF15;IGFBP3;SORD;ADAMTS12;SULF1;SFRP4;SFRP2;GRB14;CILP;TSPAN6;SMPDL3B;LGR4;EZH2"
"Regulation Of Osteoblast Proliferation (GO:0033688)","3/16",0.00406232848973597,0.0693878890617643,0,0,10.9626587005228,60.3603872956969,"CCNA2;GREM1;NELL1"
"Stabilization Of Membrane Potential (GO:0030322)","3/16",0.00406232848973597,0.0693878890617643,0,0,10.9626587005228,60.3603872956969,"KCNK5;KCNK1;KCNN4"
"Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)","3/16",0.00406232848973597,0.0693878890617643,0,0,10.9626587005228,60.3603872956969,"NELL1;MDK;CCN4"
"DNA Replication (GO:0006260)","6/73",0.00406547496053591,0.0693878890617643,0,0,4.27354669196803,23.5268348109845,"FEN1;CHEK1;PCLAF;CDK1;MCM4;MCM2"
"Regulation Of Resting Membrane Potential (GO:0060075)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"KCNK5;KCNK1"
"Centromeric Sister Chromatid Cohesion (GO:0070601)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"BUB1B;BUB1"
"Chondrocyte Development (GO:0002063)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"SOX9;SULF1"
"Galactolipid Biosynthetic Process (GO:0019375)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"FA2H;UGT8"
"Galactosylceramide Biosynthetic Process (GO:0006682)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"FA2H;UGT8"
"Positive Regulation Of Animal Organ Morphogenesis (GO:0110110)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"SIX4;SIX1"
"Positive Regulation Of Receptor Binding (GO:1900122)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"NELL1;MMP9"
"Proline Metabolic Process (GO:0006560)","2/5",0.00412070874911878,0.0693878890617643,0,0,31.6093623890234,173.590086997846,"AOC1;PYCR1"
"Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)","4/32",0.0041491855414454,0.0693878890617643,0,0,6.79770594369135,37.2843513505109,"NT5E;FIGNL1;AK4;ENPP3"
"Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)","8/123",0.00416190878344899,0.0693878890617643,0,0,3.32784958871915,18.2425442029654,"MMP12;NELL1;ECM1;CDH3;MDK;EGF;SOX9;NME1"
"Negative Regulation Of Neuron Apoptotic Process (GO:0043524)","6/74",0.00434856848296515,0.071910473937814,0,0,4.2104846828707,22.8962307510152,"TOX3;SIX4;MDK;KIF14;SIX1;CRLF1"
"Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)","4/33",0.00464535549848179,0.0761988151928383,0,0,6.56296669183656,35.2555179214073,"DPP4;SFRP2;PLAU;TESC"
"Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)","3/17",0.00485762824587698,0.0777985500166439,0,0,10.1790915395284,54.2261070948308,"CDC20;UBE2C;MAD2L1"
"Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)","3/17",0.00485762824587698,0.0777985500166439,0,0,10.1790915395284,54.2261070948308,"CDC20;BUB1B;MAD2L1"
